id,tiempo_key,ubicacion_key,especie_key,autoridad_key,situacion,cantidad
113,1,5,33,3,ENTREGA VOLUNTARIA,2
114,1,5,1,3,ENTREGA VOLUNTARIA,1
115,1,5,7,3,ENTREGA VOLUNTARIA,2
116,1,56,5,3,ENTREGA VOLUNTARIA,1
117,1,56,5,3,ENTREGA VOLUNTARIA,1
118,1,5,33,3,ENTREGA VOLUNTARIA,1
119,1,5,33,3,ENTREGA VOLUNTARIA,1
120,1,56,7,3,ENTREGA VOLUNTARIA,1
121,1,5,14,3,ENTREGA VOLUNTARIA,1
122,1,5,32,3,ENTREGA VOLUNTARIA,1
123,1,5,33,3,ENTREGA VOLUNTARIA,1
124,1,5,33,3,ENTREGA VOLUNTARIA,1
125,1,22,44,3,ENTREGA VOLUNTARIA,1
126,1,55,7,1,ENTREGA VOLUNTARIA,3
127,1,4,6,3,ENTREGA VOLUNTARIA,1
128,1,5,45,3,ENTREGA VOLUNTARIA,1
129,1,5,14,3,ENTREGA VOLUNTARIA,1
130,1,5,5,3,ENTREGA VOLUNTARIA,1
131,1,5,5,3,ENTREGA VOLUNTARIA,1
132,1,5,6,3,ENTREGA VOLUNTARIA,1
133,1,5,33,3,ENTREGA VOLUNTARIA,1
134,1,5,5,3,ENTREGA VOLUNTARIA,1
135,1,55,33,3,ENTREGA VOLUNTARIA,1
136,1,5,46,3,ENTREGA VOLUNTARIA,1
137,1,5,47,3,ENTREGA VOLUNTARIA,1
138,1,5,7,3,ENTREGA VOLUNTARIA,1
139,1,5,4,3,ENTREGA VOLUNTARIA,2
140,1,5,33,3,ENTREGA VOLUNTARIA,1
141,1,56,5,3,ENTREGA VOLUNTARIA,1
142,1,56,48,3,ENTREGA VOLUNTARIA,1
143,1,56,12,3,ENTREGA VOLUNTARIA,1
144,1,56,11,3,ENTREGA VOLUNTARIA,1
145,1,56,24,3,ENTREGA VOLUNTARIA,1
146,1,56,33,3,ENTREGA VOLUNTARIA,1
147,1,56,5,3,ENTREGA VOLUNTARIA,1
148,1,56,49,3,ENTREGA VOLUNTARIA,1
149,1,56,33,3,ENTREGA VOLUNTARIA,1
150,1,56,10,3,ENTREGA VOLUNTARIA,1
151,1,56,3,3,ENTREGA VOLUNTARIA,1
152,1,56,50,3,ENTREGA VOLUNTARIA,1
153,1,56,51,3,ENTREGA VOLUNTARIA,1
154,1,56,3,3,ENTREGA VOLUNTARIA,1
155,1,56,21,3,ENTREGA VOLUNTARIA,1
156,1,56,46,3,ENTREGA VOLUNTARIA,1
157,1,56,33,3,ENTREGA VOLUNTARIA,1
158,1,56,52,3,ENTREGA VOLUNTARIA,1
159,1,56,53,3,ENTREGA VOLUNTARIA,1
160,1,56,4,3,ENTREGA VOLUNTARIA,1
161,1,56,5,3,ENTREGA VOLUNTARIA,1
162,1,56,4,3,ENTREGA VOLUNTARIA,1
163,1,56,54,3,ENTREGA VOLUNTARIA,1
164,1,56,55,3,ENTREGA VOLUNTARIA,3
165,1,56,9,3,ENTREGA VOLUNTARIA,1
166,1,56,3,3,ENTREGA VOLUNTARIA,1
167,1,56,39,3,ENTREGA VOLUNTARIA,1
168,1,56,56,3,ENTREGA VOLUNTARIA,2
169,1,56,3,3,ENTREGA VOLUNTARIA,1
170,1,56,57,3,ENTREGA VOLUNTARIA,1
171,1,56,58,3,ENTREGA VOLUNTARIA,1
172,1,56,6,3,ENTREGA VOLUNTARIA,1
173,1,56,45,3,ENTREGA VOLUNTARIA,1
174,1,56,33,3,ENTREGA VOLUNTARIA,1
175,1,56,14,3,ENTREGA VOLUNTARIA,1
176,1,56,46,3,ENTREGA VOLUNTARIA,1
177,1,56,14,3,ENTREGA VOLUNTARIA,1
178,1,56,5,3,ENTREGA VOLUNTARIA,1
179,1,56,15,3,ENTREGA VOLUNTARIA,1
180,1,56,59,3,ENTREGA VOLUNTARIA,1
181,1,56,60,3,ENTREGA VOLUNTARIA,1
182,1,56,5,3,ENTREGA VOLUNTARIA,1
183,1,56,41,3,ENTREGA VOLUNTARIA,1
184,1,56,5,3,ENTREGA VOLUNTARIA,1
185,1,56,5,3,ENTREGA VOLUNTARIA,1
186,1,56,61,3,ENTREGA VOLUNTARIA,1
187,1,56,13,3,ENTREGA VOLUNTARIA,1
188,1,56,62,3,ENTREGA VOLUNTARIA,1
189,1,43,57,3,ENTREGA VOLUNTARIA,1
190,1,56,6,3,ENTREGA VOLUNTARIA,1
191,1,56,63,3,ENTREGA VOLUNTARIA,1
192,1,56,33,3,ENTREGA VOLUNTARIA,1
193,1,56,3,3,ENTREGA VOLUNTARIA,1
194,1,56,6,3,ENTREGA VOLUNTARIA,1
195,1,56,5,3,ENTREGA VOLUNTARIA,1
196,1,56,64,3,ENTREGA VOLUNTARIA,1
197,2,57,65,2,HALLAZGO,1
198,1,56,3,3,ENTREGA VOLUNTARIA,1
199,1,56,5,3,ENTREGA VOLUNTARIA,1
200,1,56,66,3,ENTREGA VOLUNTARIA,1
201,1,56,33,3,ENTREGA VOLUNTARIA,1
202,1,56,42,3,ENTREGA VOLUNTARIA,1
203,1,2,66,2,ENTREGA VOLUNTARIA,1
204,1,56,5,3,ENTREGA VOLUNTARIA,1
205,1,56,7,3,ENTREGA VOLUNTARIA,2
206,1,56,67,3,ENTREGA VOLUNTARIA,1
207,1,56,5,3,ENTREGA VOLUNTARIA,1
208,1,56,14,3,ENTREGA VOLUNTARIA,1
209,1,56,7,3,ENTREGA VOLUNTARIA,1
210,1,56,68,3,ENTREGA VOLUNTARIA,1
211,1,56,13,3,ENTREGA VOLUNTARIA,1
212,1,56,33,3,ENTREGA VOLUNTARIA,1
213,1,56,33,3,ENTREGA VOLUNTARIA,2
214,1,56,12,3,ENTREGA VOLUNTARIA,1
215,1,56,11,3,ENTREGA VOLUNTARIA,2
216,1,56,5,3,ENTREGA VOLUNTARIA,1
217,1,56,14,3,ENTREGA VOLUNTARIA,2
218,1,56,69,3,ENTREGA VOLUNTARIA,1
219,1,56,3,3,ENTREGA VOLUNTARIA,1
220,1,56,6,3,ENTREGA VOLUNTARIA,2
221,1,56,70,3,ENTREGA VOLUNTARIA,1
222,1,56,3,3,ENTREGA VOLUNTARIA,1
223,1,56,33,3,ENTREGA VOLUNTARIA,1
224,1,56,3,3,ENTREGA VOLUNTARIA,1
225,1,56,4,3,ENTREGA VOLUNTARIA,1
226,1,56,58,3,ENTREGA VOLUNTARIA,1
227,1,56,33,3,ENTREGA VOLUNTARIA,1
228,1,56,5,3,ENTREGA VOLUNTARIA,1
229,1,19,39,3,ENTREGA VOLUNTARIA,1
230,1,19,3,3,ENTREGA VOLUNTARIA,1
231,1,56,71,3,ENTREGA VOLUNTARIA,1
232,1,56,5,3,ENTREGA VOLUNTARIA,1
233,1,2,40,2,ENTREGA VOLUNTARIA,3
234,1,2,33,2,ENTREGA VOLUNTARIA,1
235,1,56,25,3,ENTREGA VOLUNTARIA,2
236,1,56,14,3,ENTREGA VOLUNTARIA,2
237,1,56,72,3,ENTREGA VOLUNTARIA,1
238,1,56,33,3,ENTREGA VOLUNTARIA,1
239,1,56,73,2,ENTREGA VOLUNTARIA,1
240,1,56,74,2,ENTREGA VOLUNTARIA,1
241,1,56,5,3,ENTREGA VOLUNTARIA,1
242,1,56,3,3,ENTREGA VOLUNTARIA,1
243,1,56,14,3,ENTREGA VOLUNTARIA,3
244,1,56,14,3,ENTREGA VOLUNTARIA,2
245,1,56,75,3,ENTREGA VOLUNTARIA,1
246,1,56,5,3,ENTREGA VOLUNTARIA,1
247,1,56,56,3,ENTREGA VOLUNTARIA,1
248,1,56,7,3,ENTREGA VOLUNTARIA,1
249,1,56,32,3,ENTREGA VOLUNTARIA,1
250,1,56,4,3,ENTREGA VOLUNTARIA,1
251,1,56,16,3,ENTREGA VOLUNTARIA,1
252,1,56,14,3,ENTREGA VOLUNTARIA,1
253,1,56,5,3,ENTREGA VOLUNTARIA,1
254,1,56,20,3,ENTREGA VOLUNTARIA,1
255,1,56,7,3,ENTREGA VOLUNTARIA,1
256,1,56,6,3,ENTREGA VOLUNTARIA,1
257,1,56,64,3,ENTREGA VOLUNTARIA,1
258,1,56,33,3,ENTREGA VOLUNTARIA,1
259,1,56,4,3,ENTREGA VOLUNTARIA,1
260,1,19,14,3,ENTREGA VOLUNTARIA,1
261,1,56,6,3,ENTREGA VOLUNTARIA,1
262,1,56,43,3,ENTREGA VOLUNTARIA,1
263,1,19,45,3,ENTREGA VOLUNTARIA,1
264,1,19,4,3,ENTREGA VOLUNTARIA,1
265,1,19,76,3,ENTREGA VOLUNTARIA,1
266,1,11,6,3,ENTREGA VOLUNTARIA,1
267,1,30,20,3,ENTREGA VOLUNTARIA,1
268,1,56,29,3,ENTREGA VOLUNTARIA,1
269,1,56,20,3,ENTREGA VOLUNTARIA,1
270,1,19,33,3,ENTREGA VOLUNTARIA,1
271,1,46,35,3,ENTREGA VOLUNTARIA,1
272,1,56,77,3,ENTREGA VOLUNTARIA,1
273,1,56,6,3,ENTREGA VOLUNTARIA,1
274,1,56,78,3,ENTREGA VOLUNTARIA,1
275,1,19,33,3,ENTREGA VOLUNTARIA,1
276,1,19,33,3,ENTREGA VOLUNTARIA,1
277,1,50,5,3,ENTREGA VOLUNTARIA,1
278,1,56,33,3,ENTREGA VOLUNTARIA,1
279,1,19,20,3,ENTREGA VOLUNTARIA,3
280,1,19,7,3,ENTREGA VOLUNTARIA,1
281,1,19,51,3,ENTREGA VOLUNTARIA,1
282,1,56,27,3,ENTREGA VOLUNTARIA,1
283,1,56,33,3,ENTREGA VOLUNTARIA,3
284,1,56,5,3,ENTREGA VOLUNTARIA,1
285,1,58,27,3,ENTREGA VOLUNTARIA,1
286,1,56,40,3,ENTREGA VOLUNTARIA,1
287,1,56,7,3,ENTREGA VOLUNTARIA,2
288,1,30,79,3,ENTREGA VOLUNTARIA,1
289,1,56,3,3,ENTREGA VOLUNTARIA,1
290,1,56,5,3,ENTREGA VOLUNTARIA,1
291,1,56,4,3,ENTREGA VOLUNTARIA,1
292,1,56,45,3,ENTREGA VOLUNTARIA,1
293,1,19,7,3,ENTREGA VOLUNTARIA,1
294,1,19,33,3,ENTREGA VOLUNTARIA,9
295,1,56,35,3,ENTREGA VOLUNTARIA,1
296,1,56,11,3,ENTREGA VOLUNTARIA,1
297,1,19,7,3,ENTREGA VOLUNTARIA,3
298,1,19,14,3,ENTREGA VOLUNTARIA,1
299,1,19,33,3,ENTREGA VOLUNTARIA,1
300,1,25,33,3,ENTREGA VOLUNTARIA,1
301,1,25,5,3,ENTREGA VOLUNTARIA,1
302,1,18,33,1,ENTREGA VOLUNTARIA,3
303,1,55,80,1,ENTREGA VOLUNTARIA,1
304,1,55,80,1,ENTREGA VOLUNTARIA,2
305,1,55,25,1,ENTREGA VOLUNTARIA,2
306,3,59,81,2,ENTREGA VOLUNTARIA,1
307,1,55,82,1,ENTREGA VOLUNTARIA,1
308,1,55,8,1,ENTREGA VOLUNTARIA,1
309,1,55,11,1,ENTREGA VOLUNTARIA,1
310,1,55,24,1,ENTREGA VOLUNTARIA,1
311,1,55,23,1,ENTREGA VOLUNTARIA,1
312,1,55,83,1,ENTREGA VOLUNTARIA,2
313,1,55,12,1,ENTREGA VOLUNTARIA,1
314,1,55,11,1,ENTREGA VOLUNTARIA,1
315,1,55,24,1,ENTREGA VOLUNTARIA,1
316,1,55,3,1,ENTREGA VOLUNTARIA,1
317,1,55,78,1,ENTREGA VOLUNTARIA,1
318,1,55,58,1,ENTREGA VOLUNTARIA,2
319,1,55,45,1,ENTREGA VOLUNTARIA,2
320,1,55,58,1,ENTREGA VOLUNTARIA,1
321,1,55,4,1,ENTREGA VOLUNTARIA,1
322,1,55,11,1,ENTREGA VOLUNTARIA,1
323,1,55,12,1,ENTREGA VOLUNTARIA,1
324,1,55,84,1,ENTREGA VOLUNTARIA,1
325,1,55,12,1,ENTREGA VOLUNTARIA,1
326,1,55,12,1,ENTREGA VOLUNTARIA,1
327,1,55,11,1,ENTREGA VOLUNTARIA,2
328,1,1,5,1,ENTREGA VOLUNTARIA,1
329,1,55,85,1,ENTREGA VOLUNTARIA,2
330,1,55,31,1,ENTREGA VOLUNTARIA,5
331,1,55,31,1,ENTREGA VOLUNTARIA,2
332,1,55,86,1,ENTREGA VOLUNTARIA,1
333,1,55,25,1,ENTREGA VOLUNTARIA,6
334,1,60,14,1,ENTREGA VOLUNTARIA,2
335,1,55,11,1,ENTREGA VOLUNTARIA,1
336,1,55,33,1,ENTREGA VOLUNTARIA,1
337,1,55,31,1,ENTREGA VOLUNTARIA,2
338,1,61,58,1,ENTREGA VOLUNTARIA,1
339,1,55,85,1,ENTREGA VOLUNTARIA,2
340,1,55,45,3,ENTREGA VOLUNTARIA,1
341,1,55,21,1,ENTREGA VOLUNTARIA,2
342,1,55,80,1,ENTREGA VOLUNTARIA,2
343,1,55,11,1,ENTREGA VOLUNTARIA,2
344,1,55,58,1,ENTREGA VOLUNTARIA,1
345,1,55,33,1,ENTREGA VOLUNTARIA,1
346,1,55,14,1,ENTREGA VOLUNTARIA,1
347,1,55,80,1,ENTREGA VOLUNTARIA,1
348,1,55,54,1,ENTREGA VOLUNTARIA,1
349,1,55,14,1,ENTREGA VOLUNTARIA,2
350,1,55,80,1,ENTREGA VOLUNTARIA,1
351,1,36,11,1,ENTREGA VOLUNTARIA,2
352,1,62,11,1,ENTREGA VOLUNTARIA,1
353,1,63,5,1,ENTREGA VOLUNTARIA,1
354,1,64,33,1,ENTREGA VOLUNTARIA,1
355,1,65,38,1,ENTREGA VOLUNTARIA,1
356,1,19,33,1,ENTREGA VOLUNTARIA,1
357,1,30,5,1,ENTREGA VOLUNTARIA,1
358,1,19,27,1,ENTREGA VOLUNTARIA,1
359,1,22,87,1,ENTREGA VOLUNTARIA,1
360,1,22,11,1,ENTREGA VOLUNTARIA,1
361,1,66,5,1,ENTREGA VOLUNTARIA,1
362,1,5,82,1,ENTREGA VOLUNTARIA,1
363,1,5,5,1,ENTREGA VOLUNTARIA,1
364,1,63,33,1,ENTREGA VOLUNTARIA,1
365,1,64,5,1,ENTREGA VOLUNTARIA,1
366,1,42,88,1,ENTREGA VOLUNTARIA,1
367,1,19,20,1,ENTREGA VOLUNTARIA,1
368,1,19,3,3,ENTREGA VOLUNTARIA,1
369,1,67,27,1,ENTREGA VOLUNTARIA,1
370,1,68,80,1,ENTREGA VOLUNTARIA,8
371,1,19,7,1,ENTREGA VOLUNTARIA,1
372,1,19,14,1,ENTREGA VOLUNTARIA,1
373,1,42,89,1,ENTREGA VOLUNTARIA,1
374,1,69,12,3,ENTREGA VOLUNTARIA,1
375,1,69,11,3,ENTREGA VOLUNTARIA,2
376,1,70,20,1,ENTREGA VOLUNTARIA,1
377,1,42,33,1,ENTREGA VOLUNTARIA,1
378,1,49,5,1,ENTREGA VOLUNTARIA,1
379,1,19,14,1,ENTREGA VOLUNTARIA,1
380,1,19,14,1,ENTREGA VOLUNTARIA,1
381,1,19,42,1,ENTREGA VOLUNTARIA,2
382,1,17,90,1,ENTREGA VOLUNTARIA,1
383,1,42,91,1,ENTREGA VOLUNTARIA,1
384,1,22,5,1,ENTREGA VOLUNTARIA,2
385,1,19,3,1,ENTREGA VOLUNTARIA,1
386,1,19,33,1,ENTREGA VOLUNTARIA,4
387,1,19,33,1,ENTREGA VOLUNTARIA,1
388,1,19,14,1,ENTREGA VOLUNTARIA,1
389,1,19,5,1,ENTREGA VOLUNTARIA,1
390,1,19,33,1,ENTREGA VOLUNTARIA,1
391,1,19,14,1,ENTREGA VOLUNTARIA,1
392,1,19,33,1,ENTREGA VOLUNTARIA,1
393,1,19,33,1,ENTREGA VOLUNTARIA,1
394,1,39,60,1,ENTREGA VOLUNTARIA,1
395,1,19,83,1,ENTREGA VOLUNTARIA,1
396,1,19,59,1,ENTREGA VOLUNTARIA,1
397,1,19,14,1,ENTREGA VOLUNTARIA,1
398,1,19,92,1,ENTREGA VOLUNTARIA,1
399,1,19,14,1,ENTREGA VOLUNTARIA,1
400,1,19,33,1,ENTREGA VOLUNTARIA,1
401,1,19,4,1,ENTREGA VOLUNTARIA,1
402,1,19,14,1,ENTREGA VOLUNTARIA,1
403,1,1,93,1,ENTREGA VOLUNTARIA,1
404,1,19,45,1,ENTREGA VOLUNTARIA,1
405,1,19,38,1,ENTREGA VOLUNTARIA,1
406,1,71,12,1,ENTREGA VOLUNTARIA,1
407,1,5,5,1,ENTREGA VOLUNTARIA,1
408,1,72,7,1,ENTREGA VOLUNTARIA,2
409,1,18,14,1,ENTREGA VOLUNTARIA,1
410,1,19,83,1,ENTREGA VOLUNTARIA,1
411,1,19,14,1,ENTREGA VOLUNTARIA,1
412,1,70,14,1,ENTREGA VOLUNTARIA,2
413,1,19,33,1,ENTREGA VOLUNTARIA,1
414,1,19,16,1,ENTREGA VOLUNTARIA,1
415,1,19,7,1,ENTREGA VOLUNTARIA,2
416,1,19,33,1,ENTREGA VOLUNTARIA,2
417,1,19,33,1,ENTREGA VOLUNTARIA,1
418,1,19,18,1,ENTREGA VOLUNTARIA,1
419,1,73,4,1,ENTREGA VOLUNTARIA,1
420,1,74,45,1,ENTREGA VOLUNTARIA,1
421,1,1,13,1,ENTREGA VOLUNTARIA,1
422,1,5,5,1,ENTREGA VOLUNTARIA,1
423,1,1,5,1,ENTREGA VOLUNTARIA,1
424,1,2,5,1,ENTREGA VOLUNTARIA,1
425,1,5,6,1,ENTREGA VOLUNTARIA,1
426,1,1,5,1,ENTREGA VOLUNTARIA,1
427,1,75,5,1,ENTREGA VOLUNTARIA,2
428,1,5,5,1,ENTREGA VOLUNTARIA,1
429,1,19,94,1,ENTREGA VOLUNTARIA,1
430,1,19,38,1,ENTREGA VOLUNTARIA,1
431,1,76,95,1,ENTREGA VOLUNTARIA,1
432,1,76,9,1,ENTREGA VOLUNTARIA,2
433,1,19,14,1,ENTREGA VOLUNTARIA,1
434,1,77,33,1,ENTREGA VOLUNTARIA,1
435,1,19,5,1,ENTREGA VOLUNTARIA,1
436,1,19,20,1,ENTREGA VOLUNTARIA,1
437,1,19,14,1,ENTREGA VOLUNTARIA,1
438,1,78,5,1,ENTREGA VOLUNTARIA,1
439,1,30,5,1,ENTREGA VOLUNTARIA,1
440,1,42,46,1,ENTREGA VOLUNTARIA,1
441,1,5,5,1,ENTREGA VOLUNTARIA,1
442,1,79,5,1,ENTREGA VOLUNTARIA,2
443,1,30,45,1,ENTREGA VOLUNTARIA,2
444,1,75,5,1,ENTREGA VOLUNTARIA,5
445,1,5,33,1,ENTREGA VOLUNTARIA,1
446,1,30,96,1,ENTREGA VOLUNTARIA,1
447,1,42,27,1,ENTREGA VOLUNTARIA,1
448,1,80,5,1,ENTREGA VOLUNTARIA,1
449,1,56,58,1,ENTREGA VOLUNTARIA,2
450,1,5,5,1,ENTREGA VOLUNTARIA,1
451,1,80,5,1,ENTREGA VOLUNTARIA,2
452,1,1,33,1,ENTREGA VOLUNTARIA,1
453,1,55,14,1,ENTREGA VOLUNTARIA,1
454,1,55,11,1,ENTREGA VOLUNTARIA,1
455,1,19,61,1,ENTREGA VOLUNTARIA,2
456,1,19,97,1,ENTREGA VOLUNTARIA,1
457,1,19,7,1,ENTREGA VOLUNTARIA,3
458,1,19,33,1,ENTREGA VOLUNTARIA,1
459,1,19,33,1,ENTREGA VOLUNTARIA,1
460,1,5,33,1,ENTREGA VOLUNTARIA,1
461,1,5,38,1,ENTREGA VOLUNTARIA,1
462,1,5,20,1,ENTREGA VOLUNTARIA,1
463,1,19,7,1,ENTREGA VOLUNTARIA,1
464,1,19,5,1,ENTREGA VOLUNTARIA,1
465,1,19,5,1,ENTREGA VOLUNTARIA,1
466,1,2,14,2,ENTREGA VOLUNTARIA,1
467,1,5,5,1,ENTREGA VOLUNTARIA,1
468,1,19,61,1,ENTREGA VOLUNTARIA,1
469,1,81,33,1,ENTREGA VOLUNTARIA,1
470,2,57,65,2,HALLAZGO,1
471,1,19,61,1,ENTREGA VOLUNTARIA,1
472,1,19,33,1,ENTREGA VOLUNTARIA,1
473,1,19,33,1,ENTREGA VOLUNTARIA,1
474,1,30,98,1,ENTREGA VOLUNTARIA,1
475,1,82,11,1,ENTREGA VOLUNTARIA,1
476,1,1,7,1,ENTREGA VOLUNTARIA,1
477,1,1,5,1,ENTREGA VOLUNTARIA,1
478,1,83,12,1,ENTREGA VOLUNTARIA,1
479,1,5,80,1,ENTREGA VOLUNTARIA,1
480,1,5,33,1,ENTREGA VOLUNTARIA,1
481,1,18,14,1,ENTREGA VOLUNTARIA,1
482,1,1,42,1,ENTREGA VOLUNTARIA,1
483,1,2,7,1,ENTREGA VOLUNTARIA,1
484,1,18,5,1,ENTREGA VOLUNTARIA,1
485,1,5,18,1,ENTREGA VOLUNTARIA,2
486,1,5,99,1,ENTREGA VOLUNTARIA,1
487,1,5,5,1,ENTREGA VOLUNTARIA,1
488,1,42,20,1,ENTREGA VOLUNTARIA,1
489,1,5,27,1,ENTREGA VOLUNTARIA,1
490,1,84,45,1,ENTREGA VOLUNTARIA,1
491,1,19,20,1,ENTREGA VOLUNTARIA,1
492,1,65,100,1,ENTREGA VOLUNTARIA,1
493,1,85,80,1,ENTREGA VOLUNTARIA,4
494,1,86,43,1,ENTREGA VOLUNTARIA,1
495,1,85,11,1,ENTREGA VOLUNTARIA,1
496,1,85,101,1,ENTREGA VOLUNTARIA,1
497,1,85,102,1,ENTREGA VOLUNTARIA,1
